orderNumber,customerIdentifier,customerName,status,orderCreateTimestamp,orderActiveTimestamp,orderSubmitTimestamp,orderCompleteTimestamp,orderType,productType,area,longitude,latitude,spacecraft,archiveTasking,publicPrivate,multistrip,responsiveness,completeDate,orderDescription,catId,sqkm,charge,chargeS,orderNotes,country,timeToComplete,seconds
50332512010,100436,DAF75,Complete,2025-05-14 03:13:25,2025-05-14 03:13:48.441,2025-05-14 03:13:25,2025-05-14 03:17:35.686,AO,OR2A,39.906,118.59016295,24.797365060000004,WV03,ARCHIVE,Public,N,Fresh,2025-05-14,View-Ready (Standard) OR2A,10400100A34D9B00,39.91,39.91,00:00:00.077,N,China,3.7874166666666667,0.077
50332487010,100436,DAF75,Complete,2025-05-14 02:54:59,2025-05-14 02:55:24.266,2025-05-14 02:54:59,2025-05-14 13:12:20.047,AO,OR2A,6.038,124.951443515,-8.960896685000002,GE01,ARCHIVE,Public,N,Standard,2025-05-14,View-Ready (Standard) OR2A,1050410001E11C00,6.04,6.04,00:00:00.018,N,Timor-Leste,616.9296833333334,0.018
50332486010,100436,DAF75,Complete,2025-05-14 02:37:34,2025-05-14 02:38:08.999,2025-05-14 02:37:34,2025-05-14 13:13:05.177,AO,OR2A,5.035,124.065852505,-9.36179418,GE01,ARCHIVE,Public,N,Standard,2025-05-14,View-Ready (Standard) OR2A,###############################################################################################################################################################################################################################################################,5.04,5.04,00:00:00.015,N,Timor-Leste,634.9363,0.015
50332483010,100436,DAF75,Complete,2025-05-14 01:57:58,2025-05-14 01:58:23.105,2025-05-14 01:57:58,2025-05-14 02:02:54.026,AO,OR2A,11.451,126.40252332,-8.484987295,LG04,ARCHIVE,Public,N,Fresh,2025-05-14,View-Ready (Standard) OR2A,B140001100A64600,11.45,11.45,00:00:00.031,N,Timor-Leste,4.51535,0.031
50332482010,100436,DAF75,Complete,2025-05-14 01:42:46,2025-05-14 01:43:28.507,2025-05-14 01:42:46,2025-05-14 01:49:09.957,AO,OR2A,28.318,120.97023909,32.074141685,LG03,ARCHIVE,Public,N,Fresh,2025-05-14,View-Ready (Standard) OR2A,B130001100964300,28.32,28.32,00:00:00.076,N,China,5.690833333333333,0.076
50332477010,100436,DAF75,Complete,2025-05-14 01:32:05,2025-05-14 01:35:38.982,2025-05-14 01:32:05,2025-05-14 09:47:52.370,AO,OR2A,19.334,113.88177493,-1.27747207,WV02,ARCHIVE,Public,N,Standard,2025-05-14,View-Ready (Standard) OR2A,10300100A3CED200,19.33,19.33,00:00:00.042,N,Indonesia,492.2231333333333,0.042
50330926010,100436,DAF75,Complete,2025-05-11 01:29:47,2025-05-11 01:30:28.238,2025-05-11 01:29:47,2025-05-11 01:51:06.026,AO,OR2A,1920.487,138.2121327769974,-4.017656445226742,GE01,TASKING,Private,N,SelectPlus,2025-05-11,View-Ready (Standard) OR2A,105001004257CF00,103.59,4267.83,00:00:12.371,N,Indonesia,20.6298,12.371
50329860010,100436,DAF75,Complete,2025-05-08 04:30:31,2025-05-08 04:31:07.932,2025-05-08 04:30:31,2025-05-08 04:35:54.369,AO,OR2A,3.749,139.416724705,-5.02412885,GE01,ARCHIVE,Public,N,Fresh,2025-05-08,View-Ready (Standard) OR2A,###############################################################################################################################################################################################################################################################,3.75,3.75,00:00:00.011,N,Indonesia,4.77395,0.011
50329325010,100436,DAF75,Complete,2025-05-07 02:31:42,2025-05-07 02:34:57.413,2025-05-07 02:31:42,2025-05-07 03:02:17.335,AO,OR2A,1431.11,137.7743912020889,-3.666607038173836,GE01,TASKING,Private,N,SelectPlus,2025-05-07,View-Ready (Standard) OR2A,###############################################################################################################################################################################################################################################################,100.0,4120.0,00:00:11.942,N,Indonesia,27.332033333333335,11.942
50328763010,100436,DAF75,Complete,2025-05-06 05:41:51,2025-05-06 05:42:19.042,2025-05-06 05:41:51,2025-05-06 05:52:05.341,AO,OR2A,707.145,140.38385578445008,-4.8401170199421815,WV02,ARCHIVE,Public,N,Standard,2025-05-06,View-Ready (Standard) OR2A,103001010B332E00,707.15,707.15,00:00:01.526,N,Indonesia,9.77165,1.526
