Archive/Tasking,Public/Private,Multistrip,Responsiveness,Order Number,Complete Date,Order Description,CAT ID,Sqkm,Charge ($),Charge (s),Order Notes
ARCHIVE,Public,N,Fresh,050275937010,1/3/2025,View-Ready (Standard) OR2A,103001010B115600,1.240,$1.24,00:00:00.003,N
ARCHIVE,Public,N,Fresh,050275938010,1/3/2025,View-Ready (Standard) 2A,103001010B115600,255.820,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275939010,1/3/2025,View-Ready (Standard) OR2A,10400100A29F4200,70.560,$70.56,00:00:00.137,N
ARCHIVE,Public,N,Fresh,050275940010,1/3/2025,View-Ready (Standard) 2A,10400100A29F4200,198.300,$0.00,00:00:00.000,Streaming. Do not charge.
TASKING,Private,N,SelectPlus,050276207010,1/4/2025,View-Ready (Standard) 2A,105001004010AA00,100.000,$0.00,00:00:00.000,Streaming. Do not charge.
TASKING,Private,N,SelectPlus,050276210010,1/4/2025,View-Ready (Standard) 2A,103001010BC94400,100.000,$0.00,00:00:00.000,Streaming. Do not charge.
TASKING,Private,N,SelectPlus,050276211010,1/4/2025,View-Ready (Standard) 2A,103001010BBB3900,100.000,$0.00,00:00:00.000,Streaming. Do not charge.
TASKING,Private,N,SelectPlus,050276214010,1/4/2025,View-Ready (Standard) 2A,###############################################################################################################################################################################################################################################################,100.000,$0.00,00:00:00.000,Streaming. Do not charge.
TASKING,Private,N,SelectPlus,050276215010,1/4/2025,View-Ready (Standard) 2A,###############################################################################################################################################################################################################################################################,153.670,$0.00,00:00:00.000,Streaming. Do not charge.
TASKING,Private,N,SelectPlus,050276218010,1/4/2025,View-Ready (Standard) 2A,###############################################################################################################################################################################################################################################################,100.000,$0.00,00:00:00.000,Streaming. Do not charge.
TASKING,Private,N,SelectPlus,050276219010,1/4/2025,View-Ready (Standard) OR2A,###############################################################################################################################################################################################################################################################,100.000,"$4,120.00",00:00:11.942,N
ARCHIVE,Public,N,Fresh,050276455010,1/6/2025,View-Ready (Standard) OR2A,103001010B549800,1.240,$1.24,00:00:00.003,N
ARCHIVE,Public,N,Fresh,050276456010,1/6/2025,View-Ready (Standard) 2A,103001010B549800,348.930,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050276457010,1/6/2025,View-Ready (Standard) OR2A,10400100A1D55200,16.340,$16.34,00:00:00.032,N
ARCHIVE,Public,N,Fresh,050276458010,1/6/2025,View-Ready (Standard) 2A,10400100A1D55200,1785.670,$0.00,00:00:00.000,Streaming. Do not charge.
